Site,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,kankakee,kankakee,kankakee,kankakee,kankakee,kankakee,kankakee,kankakee,kankakee,kankakee,kankakee,sumas,sumas,sumas,sumas,sumas,sumas,sumas,sumas,sumas,sumas,sumas,calgary,calgary,calgary,calgary,calgary,calgary,calgary,calgary,calgary,calgary,calgary,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,wilmington,wilmington,wilmington,wilmington,wilmington,wilmington,wilmington,wilmington,wilmington,wilmington,wilmington,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,bramcal,bramcal,bramcal,bramcal,bramcal,bramcal,bramcal,bramcal,bramcal,bramcal,bramcal,maximix,maximix,maximix,maximix,maximix,maximix,maximix,maximix,maximix,maximix,maximix,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,alconbury,alconbury,alconbury,alconbury,alconbury,alconbury,alconbury,alconbury,alconbury,alconbury,alconbury,madoc,madoc,madoc,madoc,madoc,madoc,madoc,madoc,madoc,madoc,madoc,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft
KPI metric,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL
January,Value Not Found for this KPI,Value Not Found for this KPI,88%,Value Not Found for this KPI,Value Not Found for this KPI,46%,Value Not Found for this KPI,5353,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,87%,Value Not Found for this KPI,Value Not Found for this KPI,79%,Value Not Found for this KPI,10005,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,89%,Value Not Found for this KPI,Value Not Found for this KPI,72%,Value Not Found for this KPI,1250,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,50%,Value Not Found for this KPI,Value Not Found for this KPI,100%,Value Not Found for this KPI,6434,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,40%,Value Not Found for this KPI,Value Not Found for this KPI,76%,Value Not Found for this KPI,2615,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,62%,Value Not Found for this KPI,Value Not Found for this KPI,79%,Value Not Found for this KPI,8911,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,84%,Value Not Found for this KPI,Value Not Found for this KPI,84%,Value Not Found for this KPI,50,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,88%,Value Not Found for this KPI,Value Not Found for this KPI,0%,Value Not Found for this KPI,1218,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,84%,Value Not Found for this KPI,Value Not Found for this KPI,0%,Value Not Found for this KPI,136,Value Not Found for this KPI,Value Not Found for this KPI,Error Tables Not Found,Error Tables Not Found,Value Not Found for this KPI,-1%,Value Not Found for this KPI,Value Not Found for this KPI,0%,Value Not Found for this KPI,0,Value Not Found for this KPI,Error Tables Not Found,Error Tables Not Found,Value Not Found for this KPI,Value Not Found for this KPI,39%,Value Not Found for this KPI,Value Not Found for this KPI,0%,Value Not Found for this KPI,288,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,88%,Value Not Found for this KPI,Value Not Found for this KPI,Error Tables Not Found,Value Not Found for this KPI,0,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Error Tables Not Found,Value Not Found for this KPI,93%,Value Not Found for this KPI,Value Not Found for this KPI,Error Tables Not Found,Value Not Found for this KPI,0,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,0%,Value Not Found for this KPI,0,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Error Tables Not Found,Value Not Found for this KPI,Error Tables Not Found,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,0,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI
February,24%,72%,86%,13,96%,42%,77%,5375,115,2%,74%,53%,96%,54%,2,63%,80%,83%,10033,2,23%,42%,96%,46%,93%,6,71%,77%,28%,1297,563,0%,0%,71%,79%,61%,0,60%,99%,83%,6458,39,0%,56%,77%,100%,52%,0,86%,89%,80%,2630,960,15%,42%,70%,65%,59%,0,81%,77%,87%,8913,20,2%,81%,53%,100%,82%,0,98%,79%,73%,54,766,0%,42%,17%,89%,74%,2,49%,0%,98%,1255,119,18%,12%,6%,100%,93%,0,100%,0%,0%,136,0,0%,Error Tables Not Found,Error Tables Not Found,100%,-1%,0,89%,0%,68%,0,0,Error Tables Not Found,Error Tables Not Found,80%,95%,70%,0,65%,0%,87%,288,55,0%,31%,51%,99%,90%,0,77%,Error Tables Not Found,37%,0,0,0%,Value Not Found for this KPI,Error Tables Not Found,100%,93%,0,Value Not Found for this KPI,Error Tables Not Found,0%,0,0,0%,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,0,Value Not Found for this KPI,0%,Value Not Found for this KPI,0,0,Value Not Found for this KPI,Value Not Found for this KPI,Error Tables Not Found,Value Not Found for this KPI,Error Tables Not Found,0,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,0,0,Value Not Found for this KPI,Value Not Found for this KPI
March,37%,84%,89%,17,92%,39%,76%,5446,260,4%,45%,83%,95%,77%,2,63%,77%,85%,10072,53,32%,31%,97%,42%,97%,13,82%,85%,31%,1318,566,0%,0%,69%,87%,67%,21,78%,100%,78%,6506,26,1%,58%,83%,100%,56%,67,100%,78%,64%,2682,"1,167",25%,25%,80%,64%,69%,2,86%,72%,84%,8932,30,1%,84%,67%,99%,81%,0,97%,77%,54%,69,726,0%,55%,20%,94%,83%,22,50%,34%,77%,1292,557,3%,1%,2%,100%,97%,0,80%,0%,0%,136,0,0%,Error Tables Not Found,Error Tables Not Found,100%,-1%,0,93%,0%,97%,0,0,Error Tables Not Found,Error Tables Not Found,92%,97%,76%,1,84%,3%,86%,288,55,0%,28%,44%,97%,67%,3,64%,Error Tables Not Found,47%,0,0,0%,Value Not Found for this KPI,Error Tables Not Found,100%,97%,0,Value Not Found for this KPI,Error Tables Not Found,0%,0,0,0%,100%,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,0,Value Not Found for this KPI,0%,Value Not Found for this KPI,0,0,Value Not Found for this KPI,Value Not Found for this KPI,Error Tables Not Found,Value Not Found for this KPI,Error Tables Not Found,0,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,0,0,Value Not Found for this KPI,Value Not Found for this KPI
April,46%,78%,88%,23,80%,52%,70%,5503,1,9%,86%,89%,90%,87%,10,58%,90%,73%,10098,780,27%,2%,107%,43%,95%,17,58%,62%,18%,1338,120,0%,0%,83%,91%,56%,1,79%,94%,87%,6549,177,1%,14%,83%,99%,71%,20,Value Not Found for this KPI,5%,54%,2693,0,82%,100%,63%,81%,77%,0,46%,84%,65%,9098,333,9%,66%,84%,91%,43%,1,84%,72%,47%,103,674,0%,28%,34%,96%,55%,21,57%,56%,90%,1322,242,0%,2%,5%,100%,83%,0,25%,0%,0%,136,0,0%,Error Tables Not Found,Error Tables Not Found,100%,-1%,0,100%,0%,98%,0,0,Error Tables Not Found,Error Tables Not Found,104%,99%,64%,4,79%,26%,91%,288,146,0%,15%,23%,65%,83%,10,0%,Error Tables Not Found,35%,0,0,0%,Value Not Found for this KPI,Error Tables Not Found,100%,93%,0,Value Not Found for this KPI,Error Tables Not Found,0%,0,0,0%,Value Not Found for this KPI,8%,100%,Value Not Found for this KPI,685,35%,0%,5%,0,1,4%,7%,Error Tables Not Found,Value Not Found for this KPI,Error Tables Not Found,0,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,0,0,Value Not Found for this KPI,Value Not Found for this KPI
May,91%,78%,92%,9,91%,42%,44%,5579,1,16%,88%,90%,85%,78%,15,33%,56%,50%,10113,663,63%,0%,104%,53%,96%,10,68%,49%,44%,1354,0,16%,0%,74%,86%,63%,4,64%,99%,82%,6560,51,1%,30%,86%,100%,79%,0,77%,15%,26%,2693,0,85%,46%,68%,64%,68%,2,75%,79%,77%,9148,167,36%,66%,47%,95%,46%,0,93%,26%,74%,105,825,3%,3%,63%,96%,84%,8,52%,66%,65%,1317,122,0%,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,90%,0,10%,0%,Value Not Found for this KPI,136,0,0%,Error Tables Not Found,Error Tables Not Found,100%,-1%,0,92%,0%,83%,0,0,Error Tables Not Found,Error Tables Not Found,92%,96%,59%,1,71%,32%,89%,288,453,3%,15%,24%,99%,96%,0,53%,Error Tables Not Found,34%,0,25,0%,Value Not Found for this KPI,Error Tables Not Found,100%,90%,0,Value Not Found for this KPI,Error Tables Not Found,0%,0,0,0%,Value Not Found for this KPI,57%,99%,44%,0,65%,20%,73%,6676,0,6%,49%,Error Tables Not Found,Value Not Found for this KPI,Error Tables Not Found,0,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,0,0,Value Not Found for this KPI,Value Not Found for this KPI
June,85%,76%,92%,1,90%,47%,60%,5609,105,34%,59%,99%,92%,86%,4,60%,44%,71%,10131,566,91%,0%,104%,36%,94%,23,71%,33%,30%,1359,77,55%,0%,78%,87%,64%,15,71%,100%,89%,6563,212,4%,36%,88%,100%,56%,29,72%,38%,54%,2693,887,84%,40%,72%,61%,72%,20,80%,81%,79%,9155,232,15%,84%,74%,99%,63%,1,98%,35%,84%,107,849,7%,61%,62%,95%,86%,6,66%,69%,85%,1280,58,3%,Value Not Found for this KPI,24%,100%,76%,0,100%,0%,0%,136,0,0%,Error Tables Not Found,Error Tables Not Found,100%,-1%,0,85%,0%,76%,0,0,Error Tables Not Found,Error Tables Not Found,100%,98%,68%,2,80%,42%,84%,288,447,1%,14%,37%,99%,96%,0,62%,Error Tables Not Found,36%,0,0,1%,Value Not Found for this KPI,Error Tables Not Found,100%,97%,0,Value Not Found for this KPI,Error Tables Not Found,0%,0,0,0%,100%,58%,96%,77%,6,73%,36%,80%,6694,336,61%,39%,Error Tables Not Found,Value Not Found for this KPI,Error Tables Not Found,0,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,0,0,Value Not Found for this KPI,Value Not Found for this KPI
July,100%,78%,93%,3,88%,32%,64%,5634,0,45%,71%,95%,91%,96%,44,62%,66%,74%,10158,434,99%,3%,75%,41%,82%,58,72%,51%,45%,1362,232,49%,12%,78%,91%,72%,0,57%,100%,80%,6591,"1,074",3%,19%,76%,100%,69%,0,78%,34%,35%,2693,0,83%,68%,64%,63%,81%,97,66%,82%,80%,9174,225,8%,74%,82%,99%,81%,2,98%,29%,88%,109,656,75%,0%,57%,96%,97%,34,59%,71%,42%,1303,"1,495",1%,Value Not Found for this KPI,1%,100%,84%,1,40%,0%,0%,136,0,0%,Error Tables Not Found,Error Tables Not Found,69%,-1%,0,83%,0%,67%,0,0,Error Tables Not Found,Error Tables Not Found,95%,100%,66%,3,80%,82%,85%,288,384,1%,21%,608%,97%,97%,1,63%,Error Tables Not Found,41%,0,0,0%,Value Not Found for this KPI,Error Tables Not Found,100%,97%,0,0%,Error Tables Not Found,0%,0,0,0%,Value Not Found for this KPI,50%,99%,74%,2,77%,37%,86%,6767,324,87%,33%,Error Tables Not Found,Value Not Found for this KPI,Error Tables Not Found,0,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,0,0,Value Not Found for this KPI,Value Not Found for this KPI
August,89%,71%,95%,35,95%,39%,69%,5704,481,58%,37%,91%,94%,97%,25,65%,51%,78%,10211,205,99%,2%,97%,33%,90%,1,64%,49%,29%,1362,217,76%,2%,74%,89%,47%,0,72%,96%,85%,6644,811,4%,12%,87%,100%,75%,0,75%,10%,40%,2694,285,75%,32%,61%,61%,71%,16,75%,81%,87%,9187,256,8%,73%,87%,92%,93%,0,98%,32%,76%,121,716,99%,1%,64%,97%,93%,6,59%,73%,38%,1317,"1,018",1%,Value Not Found for this KPI,3%,100%,93%,0,100%,0%,0%,136,0,0%,Error Tables Not Found,Error Tables Not Found,100%,-1%,0,69%,0%,94%,0,0,Error Tables Not Found,Error Tables Not Found,94%,100%,76%,8,81%,89%,87%,288,397,0%,26%,22%,98%,93%,0,55%,Error Tables Not Found,37%,0,0,0%,Value Not Found for this KPI,Error Tables Not Found,100%,93%,0,Value Not Found for this KPI,Error Tables Not Found,0%,0,0,0%,Value Not Found for this KPI,48%,99%,72%,91,75%,58%,89%,7138,61,77%,29%,Error Tables Not Found,Value Not Found for this KPI,Error Tables Not Found,0,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,0,0,Value Not Found for this KPI,Value Not Found for this KPI
September,73%,69%,97%,35,77%,53%,60%,5876,143,57%,78%,73%,94%,97%,17,63%,67%,78%,10270,411,100%,3%,65%,54%,94%,4,72%,43%,50%,1368,199,53%,3%,74%,92%,59%,1,72%,89%,86%,6658,232,11%,14%,81%,100%,71%,10,66%,4%,38%,2694,142,85%,72%,57%,65%,86%,0,74%,90%,84%,9193,228,8%,72%,80%,100%,97%,46,94%,35%,87%,144,653,100%,11%,59%,97%,95%,10,66%,62%,93%,1331,"1,400",0%,4%,3%,100%,80%,0,60%,0%,0%,136,0,0%,Error Tables Not Found,Error Tables Not Found,100%,-1%,0,100%,0%,100%,0,0,Error Tables Not Found,Error Tables Not Found,98%,100%,78%,2,80%,82%,84%,288,387,0%,12%,27%,100%,96%,0,55%,Error Tables Not Found,40%,0,0,0%,Value Not Found for this KPI,Error Tables Not Found,100%,97%,0,Value Not Found for this KPI,Error Tables Not Found,0%,0,0,0%,100%,49%,100%,88%,49,75%,45%,86%,7333,38,71%,40%,Error Tables Not Found,Value Not Found for this KPI,Error Tables Not Found,0,Value Not Found for this KPI,Value Not Found for this KPI,Value Not Found for this KPI,0,0,Value Not Found for this KPI,Value Not Found for this KPI
